
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Unit 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-548-205	3	ON External	20.000	ON	1003	0.000	15%	200x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-547-209	3	ON External	20.000	ON	1003	0.000	15%	200x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-547-204	3	ON External	20.000	ON	1003	0.000	15%	200x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-548-208	3	ON External	20.000	ON	1003	0.000	20%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.005	11.603	1040	100.000	20.950	53.117	22.878	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.002	11.568	1040	100.000	20.950	53.232	22.299	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.999	11.675	1040	100.000	20.950	52.804	22.983	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	19.993	11.742	1040	100.000	20.950	52.767	23.266	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Data	Smoothing:	3	
Date:	27/11/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
27/11/2019	11:26:24	0.00		230.72	222.67	237.26	239.59	23.854	23.854	23.854	23.854	987.86	---	23.854	---	---	23.090	22.917	22.884	23.061	116.581	86.122	95.706	133.787	4.688	4.804	5.636	6.850	
27/11/2019	11:26:26	1.59		230.89	222.57	237.32	239.50	23.850	23.850	23.850	23.850	987.86	---	23.850	---	---	23.084	22.923	22.882	23.067	116.546	86.156	95.717	133.803	4.644	4.800	5.647	6.851	
27/11/2019	11:26:27	2.68		230.91	222.59	237.15	239.53	23.850	23.850	23.850	23.850	987.83	---	23.850	---	---	23.083	22.922	22.890	23.065	116.516	86.194	95.721	133.809	4.650	4.795	5.649	6.868	
27/11/2019	11:26:28	3.76		230.75	222.58	236.92	239.55	23.852	23.852	23.852	23.852	987.80	---	23.852	---	---	23.089	22.922	22.901	23.063	116.483	86.222	95.733	133.812	4.628	4.780	5.644	6.916	
27/11/2019	11:26:29	4.82		230.87	222.60	236.87	239.64	23.854	23.854	23.854	23.854	987.76	---	23.854	---	---	23.083	22.920	22.902	23.058	116.469	86.208	95.752	133.806	4.615	4.769	5.660	6.898	
27/11/2019	11:26:30	5.89		230.82	222.42	236.88	239.57	23.852	23.852	23.852	23.852	987.73	---	23.852	---	---	23.086	22.930	22.903	23.063	116.432	86.197	95.758	133.809	4.637	4.773	5.644	6.901	
27/11/2019	11:26:31	6.96		231.17	222.37	236.78	239.54	23.851	23.851	23.851	23.851	987.78	---	23.851	---	---	23.069	22.933	22.908	23.064	116.423	86.189	95.755	133.812	4.676	4.759	5.661	6.866	
27/11/2019	11:26:32	8.02		230.88	222.19	236.62	239.32	23.851	23.851	23.851	23.851	987.80	---	23.851	---	---	23.084	22.942	22.915	23.075	116.428	86.218	95.765	133.831	4.712	4.755	5.643	6.872	
27/11/2019	11:26:34	9.08		230.89	222.20	236.66	239.27	23.851	23.851	23.851	23.851	987.84	---	23.851	---	---	23.083	22.942	22.914	23.077	116.469	86.240	95.778	133.841	4.711	4.764	5.681	6.908	
27/11/2019	11:26:35	10.14		230.43	222.05	236.75	239.23	23.850	23.850	23.850	23.850	987.84	---	23.850	---	---	23.106	22.950	22.910	23.079	116.534	86.257	95.795	133.851	4.671	4.788	5.657	6.904	
27/11/2019	11:26:36	11.21		230.27	222.01	236.66	239.47	23.849	23.849	23.849	23.849	987.87	---	23.849	---	---	23.114	22.952	22.914	23.068	116.611	86.257	95.805	133.835	4.649	4.804	5.689	6.905	
27/11/2019	11:26:37	12.28		230.02	222.03	236.58	239.44	23.847	23.847	23.847	23.847	987.87	---	23.847	---	---	23.128	22.952	22.919	23.070	116.704	86.270	95.806	133.822	4.635	4.811	5.671	6.861	
27/11/2019	11:26:38	13.34		229.87	222.18	236.60	239.50	23.846	23.846	23.846	23.846	987.85	---	23.846	---	---	23.136	22.945	22.918	23.068	116.768	86.273	95.805	133.813	4.650	4.816	5.696	6.873	
